"Program","Project","StartupTime(ms)"
"Eclipse","Cake","12634"
"Eclipse","Cake","11968"
"Eclipse","Cake","12269"
"Eclipse","Cake","12008"
"Eclipse","Cake","12155"
"Eclipse","Cake","12097"
"Eclipse","Cake","12154"
"Eclipse","Cake","12570"
"Eclipse","Cake","12094"
"Eclipse","Cake","12301"
"Eclipse","Cake","12154"
"Eclipse","Cake","12269"
"Eclipse","Cake","12097"
"Eclipse","Cake","12269"
"Eclipse","Cake","12155"
"Eclipse","Cake","12634"
"Eclipse","Cake","11968"
"Eclipse","Cake","12570"
"Eclipse","Cake","11968"
"Eclipse","Cake","12301"
"Eclipse","Cake","12008"
"Eclipse","Cake","12301"
"Eclipse","Cake","12094"
"Eclipse","Cake","12154"
"Eclipse","Cake","12155"
"Eclipse","Cake","12634"
"Eclipse","Cake","12094"
"Eclipse","Cake","12570"
"Eclipse","Cake","12008"
"Eclipse","Cake","12097"
"Eclipse","Mindustry","13828"
"Eclipse","Mindustry","13826"
"Eclipse","Mindustry","13330"
"Eclipse","Mindustry","14013"
"Eclipse","Mindustry","13448"
"Eclipse","Mindustry","13914"
"Eclipse","Mindustry","13495"
"Eclipse","Mindustry","13675"
"Eclipse","Mindustry","13643"
"Eclipse","Mindustry","13860"
"Eclipse","Mindustry","13914"
"Eclipse","Mindustry","13643"
"Eclipse","Mindustry","14013"
"Eclipse","Mindustry","13914"
"Eclipse","Mindustry","13675"
"Eclipse","Mindustry","13828"
"Eclipse","Mindustry","13826"
"Eclipse","Mindustry","13495"
"Eclipse","Mindustry","13828"
"Eclipse","Mindustry","13448"
"Eclipse","Mindustry","14013"
"Eclipse","Mindustry","13860"
"Eclipse","Mindustry","13643"
"Eclipse","Mindustry","13330"
"Eclipse","Mindustry","13860"
"Eclipse","Mindustry","13675"
"Eclipse","Mindustry","13826"
"Eclipse","Mindustry","13448"
"Eclipse","Mindustry","13495"
"Eclipse","Mindustry","13330"
"IntelliJ","Mindustry","14245"
"IntelliJ","Mindustry","15291"
"IntelliJ","Mindustry","14794"
"IntelliJ","Mindustry","15226"
"IntelliJ","Mindustry","15052"
"IntelliJ","Mindustry","15182"
"IntelliJ","Mindustry","14933"
"IntelliJ","Mindustry","14716"
"IntelliJ","Mindustry","14533"
"IntelliJ","Mindustry","14313"
"IntelliJ","Mindustry","15182"
"IntelliJ","Mindustry","14933"
"IntelliJ","Mindustry","14794"
"IntelliJ","Mindustry","15182"
"IntelliJ","Mindustry","15291"
"IntelliJ","Mindustry","14716"
"IntelliJ","Mindustry","14313"
"IntelliJ","Mindustry","15226"
"IntelliJ","Mindustry","14794"
"IntelliJ","Mindustry","14313"
"IntelliJ","Mindustry","14245"
"IntelliJ","Mindustry","15226"
"IntelliJ","Mindustry","14533"
"IntelliJ","Mindustry","15052"
"IntelliJ","Mindustry","14933"
"IntelliJ","Mindustry","14716"
"IntelliJ","Mindustry","15052"
"IntelliJ","Mindustry","14533"
"IntelliJ","Mindustry","15291"
"IntelliJ","Mindustry","14245"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","3000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","1000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","3000"
"Notepad","Cake","2000"
"Notepad","Cake","1000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","1000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","2000"
"Notepad","Cake","3000"
"Notepad","Cake","2000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","3000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","2000"
"Notepad","Mindustry","3000"
"VisualStudio","Cake","40233"
"VisualStudio","Cake","29665"
"VisualStudio","Cake","30169"
"VisualStudio","Cake","31009"
"VisualStudio","Cake","29781"
"VisualStudio","Cake","30350"
"VisualStudio","Cake","31812"
"VisualStudio","Cake","30984"
"VisualStudio","Cake","30984"
"VisualStudio","Cake","35267"
"VisualStudio","Cake","30984"
"VisualStudio","Cake","31812"
"VisualStudio","Cake","30984"
"VisualStudio","Cake","35267"
"VisualStudio","Cake","40233"
"VisualStudio","Cake","31009"
"VisualStudio","Cake","30169"
"VisualStudio","Cake","30350"
"VisualStudio","Cake","29781"
"VisualStudio","Cake","40233"
"VisualStudio","Cake","35267"
"VisualStudio","Cake","30169"
"VisualStudio","Cake","29665"
"VisualStudio","Cake","31812"
"VisualStudio","Cake","30350"
"VisualStudio","Cake","30984"
"VisualStudio","Cake","30984"
"VisualStudio","Cake","29665"
"VisualStudio","Cake","31009"
"VisualStudio","Cake","29781"
"VSCode","Cake","1934"
"VSCode","Cake","1756"
"VSCode","Cake","2220"
"VSCode","Cake","1605"
"VSCode","Cake","1724"
"VSCode","Cake","1655"
"VSCode","Cake","1621"
"VSCode","Cake","1615"
"VSCode","Cake","1696"
"VSCode","Cake","1634"
"VSCode","Cake","1724"
"VSCode","Cake","1724"
"VSCode","Cake","1934"
"VSCode","Cake","1696"
"VSCode","Cake","1756"
"VSCode","Cake","1615"
"VSCode","Cake","2220"
"VSCode","Cake","1634"
"VSCode","Cake","1615"
"VSCode","Cake","1621"
"VSCode","Cake","2220"
"VSCode","Cake","1621"
"VSCode","Cake","1634"
"VSCode","Cake","1605"
"VSCode","Cake","1756"
"VSCode","Cake","1696"
"VSCode","Cake","1655"
"VSCode","Cake","1934"
"VSCode","Cake","1655"
"VSCode","Cake","1605"
"VSCode","Mindustry","2274"
"VSCode","Mindustry","2308"
"VSCode","Mindustry","2524"
"VSCode","Mindustry","2227"
"VSCode","Mindustry","2422"
"VSCode","Mindustry","2202"
"VSCode","Mindustry","2364"
"VSCode","Mindustry","2248"
"VSCode","Mindustry","2243"
"VSCode","Mindustry","2263"
"VSCode","Mindustry","2524"
"VSCode","Mindustry","2263"
"VSCode","Mindustry","2227"
"VSCode","Mindustry","2202"
"VSCode","Mindustry","2243"
"VSCode","Mindustry","2243"
"VSCode","Mindustry","2308"
"VSCode","Mindustry","2422"
"VSCode","Mindustry","2274"
"VSCode","Mindustry","2248"
"VSCode","Mindustry","2274"
"VSCode","Mindustry","2263"
"VSCode","Mindustry","2524"
"VSCode","Mindustry","2227"
"VSCode","Mindustry","2364"
"VSCode","Mindustry","2422"
"VSCode","Mindustry","2364"
"VSCode","Mindustry","2248"
"VSCode","Mindustry","2202"
"VSCode","Mindustry","2308"
